playlist_index,title,id,view_count,like_count,comment_count,upload_date,upload_date_iso,duration,duration_string,channel,uploader,url
34,ds.terminal: Use case - customize and reuse your home,BYtt2cXW4qg,25,,0,20220503,2022-05-03,1641,27:21,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=BYtt2cXW4qg
35,terminal: Modify your file system,DVmvsZk-9F4,87,2,0,20220425,2022-04-25,1994,33:14,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=DVmvsZk-9F4
36,terminal: Start a terminal and navigate your files system,V2oSfukR4mw,19,,0,20220419,2022-04-19,1578,26:18,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=V2oSfukR4mw
37,terminal: Setup and navigate,2Lcba2K8j6M,16,,0,20220419,2022-04-19,922,15:22,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=2Lcba2K8j6M
38,terminal overview,yOJZHRGF3Bk,41,1,0,20220412,2022-04-12,1697,28:17,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=yOJZHRGF3Bk
39,pins: Sharing versions of a dataset with pins and Dropbox,VCHu0uhGo2g,40,,0,20220405,2022-04-05,1714,28:34,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=VCHu0uhGo2g
40,WTF: Debugging R code,tLvRWRWeQK4,56,2,0,20220329,2022-03-29,1843,30:43,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=tLvRWRWeQK4
41,wtf: Installing R packages (part 2),9yrckf6Km-U,129,,0,20220322,2022-03-22,1655,27:35,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=9yrckf6Km-U
42,Set up a custom user library to install R packages,sbp5Q8niTho,2691,22,0,20220318,2022-03-18,626,10:26,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=sbp5Q8niTho
43,wtf: Installing R packages (part 1),XG8DetPZP4c,84,1,0,20220315,2022-03-15,1828,30:28,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=XG8DetPZP4c
44,A demo of the package r2dii.plot (by Monika),CRcK0SCxGBQ,74,1,0,20220301,2022-03-01,2144,35:44,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=CRcK0SCxGBQ
45,wtf: Name and organize files,xW05GsfhuiY,36,,0,20220222,2022-02-22,1883,31:23,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=xW05GsfhuiY
46,wtf: Holistic workflow (part 2),ek3b0m1iCdk,14,,0,20220215,2022-02-15,1823,30:23,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=ek3b0m1iCdk
47,wtf: Holistic workflow (part 1),cKAXDJq5ZdA,46,,0,20220208,2022-02-08,1805,30:05,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=cKAXDJq5ZdA
48,webdata: Using APIs,pCo14eM-KkQ,78,1,0,20220125,2022-01-25,1343,22:23,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=pCo14eM-KkQ
50,webdata: Scrapping,sPE6MLGUPy4,32,,0,20220118,2022-01-18,1904,31:44,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=sPE6MLGUPy4
